"","ARGXTEXVA01GPSAM","IMP3570","XTEITT01BRM156S","EXP3510","BRAXTEXVA01NCMLM","XTEXVA01BRM657S","XTIMVA01BRM657S","IMP3510","BRAXTIMVA01NCMLM","XTEITT01CNM156S","XTEITT01INM156S","EXP5330","XTEXVA01INM657S","IMP5330","XTIMVA01INM657S","MEXXTIMVA01NCMLM","IMPMX","RUSLOCOBXNOSTSAM","XTEXVA01RUM657S","RUSXTEXVA01NCMLM","TURLOCOTXORSTM","TURXTIMVA01CXMLM","TURLOCOMGORCXMLSAM"
"1998-07",-0.062343940952193,12,-0.0865092544132111,-110.5,111350027.1665,-0.0309975155397111,0.0634289338694378,-32.8,187338338.596999,1.37274847768184,0.733324185641703,13.9,0.0822540013976951,-8.60000000000002,0.19160539328633,15241368187.1391,322.900000000001,0.000373635456150545,0.0313325295714522,-2221688200,0.018,58734355.9999995,-0.025941103804105
"1998-08",-0.00606694566906674,-9.40000000000001,-0.00116205648645895,-76,-855672923.9021,-0.163760867975382,-0.162664811879562,64,-990662539.4725,1.28834188864313,0.862571717234405,-42.5,0.0888223326549991,46.8000000000001,-0.0743265348848158,23468669702.1619,681.599999999999,0.000600015984542068,-0.0317358698370643,3296596900,-0.03,-429334890,-0.0172922771431387
"1998-09",0.043379000192639,-32.5,-0.114852478246582,-241.8,332931025.3711,0.146561199243889,0.317195196626093,106.3,1802528732.923,1.29034415998702,0.731550281943567,75.5,-0.131313576332311,-111.9,0.024269088121348,34132674942.7494,628.400000000001,0.000822794348791733,-0.0318867417555493,49049793800,-0.045,-697760025,-0.0645703788728209
"1998-10",-0.0907967653441441,-20.7,-0.011575687772972,-97.5999999999999,-498842621.6807,-0.0866812183221328,-0.0727733469762054,68.9,-564122691.346099,1.22150552901082,0.774260056482162,-13.5,-0.0035749544112653,-70.6999999999999,-0.0585398059303547,30240495362.5709,521.1,0.0010361839701758,-0.0589875394384003,-3256318300,-0.111,-736242589,0.00106959815057883
"1998-11",-0.0413128686067394,-0.599999999999994,0.072502917597086,-154.8,15420360.1293001,0.00854455968879901,-0.0792723482625687,66.1,-447128554.300401,1.22350625050408,0.848430713593935,-65.3,0.127043440467381,90.5,0.0285161815720976,29092298361.484,681.800000000001,0.00123307321277455,-0.0440783243929637,-735638500,-0.197,-841594927,-0.0384518007374465
"1998-12",0.00777974961878775,9,0.063865099053898,-129.6,-292885917.984599,-0.0182804281075496,-0.0882137556285326,108.5,-351052113.395399,1.32312469682831,0.807295599573712,204.2,-0.0779134469224839,-72.1,-0.0309292499104024,24668696690.11,822,0.00138920828650879,0.04292378602045,42453958600,-0.211,-1071028557,-0.00132405843234396
"1999-01",-0.103938748935202,-8.69999999999999,-0.053608314926905,-16.6000000000001,48511905.0517597,-0.0658110440874766,-0.00639858748251292,-31.6999999999999,857272007.409099,1.13425513885206,0.77809336481845,90.3,0.00583382902023912,30.9,0.0435832777726861,17546486473.2435,437.2,0.00149026579358269,-0.108433365021133,-30221988400,-0.062,-879092117,-0.217071488449885
"1999-02",0.00415162632958051,-0.100000000000023,0.213461037168752,-161.7,2059782104.15912,0.120546529240976,-0.105879059926424,54.2,1312000084.48394,1.14665244499629,0.82506795053638,24.8,0.0466800368768243,15.7,-0.0129118562267097,18576785751.0184,970.5,0.00153064720664764,0.022134191898001,11137282800,0.082,-1086911771,0.226858874058614
"1999-03",0.108121810034144,51.2,-0.0991485119334948,-314.2,2412236324.4552,-0.0385192403234782,0.0610686874026741,80.1999999999999,233395679.26236,1.07026349169032,0.786823167976638,41.3,-0.0448643619102542,36.1999999999999,0.00156151404321937,21162593203.4908,978.6,0.00152624240305776,0.0101307595814226,16591706600,0.068,-1318549099,-0.0636523232186018
"1999-04",-0.0639888885011542,-32.2,-0.00195343750107302,-144.9,1048651937.8908,-0.0315943574669198,-0.0296140897846789,56.3,-898895183.96746,1.08571865975769,0.824903137532298,2.30000000000001,0.0159755535914135,-2.29999999999995,-0.0309248840354724,17632159107.3421,618.099999999999,0.00149343561923598,0.10719649853947,25357617900,0.108,-299608608,0.137339016281655
