"","RBARBIS","ARGCCUSMA02STM","IRSTCB01BRM156N","IRSTCI01BRM156N","TRESEGBRM052N","IRSTPI01INM156N","INTDSRINM193N","IRSTCB01INM156N","IRSTCI01INM156N","TRESEGINM052N","CCUSSP01TRM650N","INTDSRTRM193N"
"2004-12",-0.0173116089613035,0.00595138678219476,0.1775,0.1775,3615188402.8891,0,0,0,0,27655376860.9945,0.0671534154535272,0
"2005-01",0.0149395509499137,-0.00905046370496365,0.1825,0.1825,736132288.175201,0.001,0,0,0,22972148741.781,0.00510242365123381,-0.06
"2005-02",0.0068067727388752,-0.00891428336957856,0.1875,0.1875,6014917088.1275,0,0,0,0,26135667619.701,0.0398720349563046,0
"2005-03",0.020789318008958,0.00270834411495802,0.1925,0.1925,10343203701.9514,-0.001,0,0,0,28244796801.375,-0.0502797435992441,0
"2005-04",-0.00811325440847754,-0.00880500980628285,0.195,0.195,11043018419.7925,0,0,0,0,23091939687.822,-0.027598630877319,0
"2005-05",-0.00567565311743601,-0.0035685646941207,0.1975,0.1975,10143772614.4594,0,0,0,0,18941974302.1,0.0217191238726298,-0.04
"2005-06",0.0171241500881392,-0.00222266350337741,0.1975,0.1975,10035297282.2666,0,0,0,0,18333717233.215,0.0159697808362631,0
"2005-07",0.00982091276718666,-0.00495452244199657,0.1975,0.1975,4981023504.1445,0,0,0,0,21755549702.747,0.0094382361824219,0
"2005-08",-0.0104609349460608,0.0064775111759876,0.1975,0.1975,5453231869.7875,0,0,0,0,25531334168.19,-0.0193624819517971,0
"2005-09",-0.0116451932606541,0.00825570368717576,0.195,0.195,7449640785.8843,0,0,0,0,22960798985.231,0.00379055334646416,0
"2005-10",-0.0134536642433358,0.0194847856154912,0.19,0.19,10779689294.8387,0,0,0,0,21724838107.144,0.000371761032009088,0
"2005-11",-0.00110113501609344,-0.000929333355944917,0.185,0.185,14095702881.8445,0,0,0,0,14209489692.805,-0.00613338259745067,0
"2005-12",0.00576613245145419,0.016865776528461,0.18,0.18,783424900.814697,0,0,0,0,5331038643.711,0.0060964276420945,-0.05
"2006-01",-0.0182109434280414,0.0107368568652786,0.1725,0.1725,2743015159.1843,0,0,0,0,9617636907.98001,0.0165898269216234,0
"2006-02",-0.0136539287247746,0.00753109052172629,0.1725,0.1725,-1730761731.0262,0,0,0,0,5120276348.252,0.0106557690104272,0
"2006-03",0.00531081316385174,0.0022588312433407,0.165,0.165,-2301913907.5854,0,0,0,0,8845777432.80199,-0.0266180898918174,0
"2006-04",-0.000866025807569004,-0.00351635842650311,0.1575,0.1575,-5265052131.8629,0,0,0,0,16969716782.528,0.0199446403518753,0
"2006-05",0.00381381641674605,-0.00372243868972788,0.1575,0.1575,2416823269.94411,0.005,0,0,0,22495860994.511,-0.15673860911271,0
"2006-06",0.0162334858820481,0.00876427076983921,0.1525,0.1525,2595295333.8909,0,0,0,0,22944775823.704,-0.00619637750238256,0
"2006-07",-0.00747727079615934,1.30648506524444e-05,0.1475,0.1475,11911801450.6494,0,0,0,0,22002463338.563,0.0598457548917242,0
"2006-08",-0.00359558256998549,-0.000535651878537657,0.1425,0.1425,16196392050.6766,0.0025,0,0,0,20162097181.59,0.0229793977813,0
"2006-09",0.00446773777815967,0.00659793140634957,0.1425,0.1425,16248716799.236,0,0,0,0,20755013445.446,-0.0329179716132476,0
"2006-10",0.00641519117269684,-0.000957717580448159,0.1375,0.1375,17781925201.915,0,0,0,0,22615519179.111,0.0296397941680966,0
"2006-11",0.00849906510283871,-0.00724988545116001,0.1325,0.1325,18673790073.4342,0,0,0,0,30254256082.191,0.00565790381563569,0
"2006-12",0.00126411596157094,-0.00504094953158452,0.1325,0.1325,31910973702.9602,0,0,0,0,38813672157.394,0.02860184528034,0.04
"2007-01",0.00488174396094609,0.00875120904861859,0.13,0.13,34074062706.7004,0.00499999999999999,0,0,0,38949164535.358,-0.00557555226198114,0
"2007-02",-0.016333026216601,0.0053878115440058,0.13,0.13,43535926860.3531,0.0016,0,0,0,51043307437.067,0.000353007624964707,0
"2007-03",-0.000255449591280654,-0.000373049599377118,0.1275,0.1275,49620652723.3108,0.0049,0,0,0,46544004953.425,0.0238172684231461,0
"2007-04",-0.00792096073588278,-0.00394606610309756,0.125,0.125,65242632490.1195,0.00539999999999999,0,0,0,43013323875.797,0.0142595307917879,0
"2007-05",-0.00789835164835162,-0.00310485145256867,0.125,0.125,73025920665.5013,0.000600000000000017,0,0,0,44316518302.155,0.0334899227155641,0
"2007-06",-0.00432675666320526,-0.000166674292288005,0.12,0.12,84390493902.0406,0,0,0,0,49846999986.623,0.00921429936914486,0
"2007-07",-0.0247696853815401,0.0111547192953372,0.115,0.115,89054464249.0059,0,0,0,0,62202975563.233,0.0235588776268936,0
"2007-08",0.00686213349968812,0.0127474100641904,0.115,0.115,89566271998.2147,0,0,0,0,62261679243.359,-0.0130166087292393,0
"2007-09",-0.00902814657461504,-0.0016789502411495,0.1125,0.1125,89413905680.7916,0,0,0,0,81293110467.338,0.0718721536805498,0
"2007-10",-0.028581636298678,0.00386232474861314,0.1125,0.1125,89495066731.4151,0,0,0,0,95557542220.671,0.0283111243560821,0
"2007-11",-0.00514895182052222,-0.00765033936039095,0.1125,0.1125,93797735995.0892,0,0,0,0,97012866228.806,8.51534891639361e-05,0
"2007-12",0.00776340110905727,0.00114580625282845,0.1125,0.1125,94276682391.8864,0,0,0,0,96250348228.814,0.00303211479330434,-0.02
"2008-01",-0.00385179750550257,0.00193955015259939,0.1125,0.1125,96123073718.501,0,0,0,0,110398763141.486,0,0
"2008-02",-0.0194255201620328,0.00408596852172427,0.1125,0.1125,91499902916.253,-0.001,0,0,0,103993350511.646,-0.0189785914784872,0
"2008-03",-0.0127687541075955,-0.000669194735668066,0.1125,0.1125,85406310795.969,-0.004,0,0,0,107285945919.961,-0.0886564086900085,0
"2008-04",-0.00665715644317644,0.00350765306122436,0.1175,0.1175,73726549219.797,0,0,0,0,107349255440.729,0.0167313664596274,0
"2008-05",0.00229775011967437,-0.00526533206228141,0.1175,0.1175,61247552957.642,0,0,0,0,104246106743.003,0.0648148148148155,0
