"","BRAPROMANMISMEI","BSPRFT02BRM460S","BSCICP02BRM460S","BSCURT02BRM160S","INDPRMNTO01IXOBM","INDPRMNCG02IXOBSAM","CCRETT01INM661N","WPIAMP01INM661N","INDWPIAMP01GPM","BSCURT02MXM160S","MEXPROMANMISMEI","BSCICP02RUM460S","RUSPPDMMINMEI","TURPROMANMISMEI"
"2001-12",-0.00893135320386296,0.457,-0.005,0.01,1.21089620151361,0.0293502411365811,0.00642252564161661,0.126746411984996,-0.00930983902174633,0.69253454868,-0.00475504097503643,-0.1853572499,0.00100000616467755,-0.0106666666666666
"2002-01",0.0248145482922031,0.23,-0.003,0.0079999999999999,1.6449910662071,0.0252716900973411,-0.000686190418683341,0.0693144440542994,-0.00100733581204452,0.7017761455,-0.000882033532531135,-0.15687380948,0.0039999926097769,0.0404312668463611
"2002-02",0.016518424396442,0.378,0.01,0.003,1.16520200523,0.00689274588763533,-0.00348407499993364,0.138628888108599,0.00121759470695986,0.69773668022,-0.0042671698809148,-0.178979874426667,0.00500000812104817,0.0751295336787565
"2002-03",0.00750000000000028,0.305,-0.015,-0.0109999999999999,1.2794374959389,-0.00991828790095561,0.000295619373882783,-0.0158433014981014,-0.00272055098443119,0.69128436802,0.012425251952866,-0.218880716606667,0.00299999941544282,0.0192771084337349
"2002-04",-0.00248138957816424,0.344,-0.002,0,1.5307555754984,-0.0247479348014896,-0.00654187222937563,0.277257776217297,0.00513463892618741,0.70783216852,0.0022102253515619,-0.202526502593333,0.0169999936062408,0.0141843971631206
"2002-05",-0.014925373134328,0.303,-0.022,-0.01,1.5307555754983,-0.0755192927085757,-0.0115850891769212,0.564417615870902,0.0050068275465135,0.7104980516,-0.0154853315202895,-0.1843894358,0.0119999998314539,-0.0256410256410257
"2002-06",0.0202020202020208,0.288,-0.054,0.004,1.5764497717818,0.0714817754597072,-0.00465843448291381,1.0931878033709,0.00917911779611496,0.70656388454,0.00814808229598718,-0.15490519016,0.0170000016571756,0.00956937799043067
"2002-07",0,0.245,-0.092,-0.005,2.5360278937361,-0.0567308528488845,-0.00571072328912126,0.861479518960806,-0.00410045186264732,0.72605826545,0.0010185141147776,-0.160944266376667,0.0119999989846498,0.00710900473933651
"2002-08",-0.0123762376237626,0.175,-0.088,0.003,2.4674865993108,0.0207744549466085,0.0137713280953817,1.52887859456951,0.0114873575086866,0.7121436403,0.0038729805589981,-0.119057233193333,0.00800000459581596,0.0117647058823529
"2002-09",0.00751879699248037,0.183,-0.071,-0.004,2.8787343658626,-0.00777054279261047,0.00682116274833811,1.6833507841763,0.00268091269537357,0.70734949419,-0.00042555602066785,-0.122622972693333,0.00999999959864972,0.0395348837209304
