"","LMUNRRTTATM156S","LRHUTTFEATM156S","LMUNRLTTBEM647S","LFHUTTTTBEM647S","LMUNRLTTIEM647S","LMUNRRTTNOM156S","LMUNRLTTESM647S","LFHUTTTTESM647S","LMUNRLTTCHM647S"
"2002-09",-0.0002441701217821,0.00100000000000001,0.0100520854253144,0.024390243902439,-0.000635276307647814,0.0328366108740166,0.00352728369254973,-0.00356983489513607,0.0531375192790835
"2002-10",-0.000660349178732603,0,0.00510677957645944,0.0297619047619047,-0.00427872860635703,0.0347709643557888,0.00794780141751295,-0.00716524854455891,0.0490471497388758
"2002-11",-0.000250960373501294,-0.00100000000000001,-0.00160255367812456,0.023121387283237,0.00912964090079127,0.0352079845764006,0.00611485223006647,0.0018042399639151,0.0472720248652256
"2002-12",0.000408796212653995,0,-0.00571980590544841,0.00847457627118642,-0.00490768673915065,0.0350341019529253,0.00388982012012939,0.00900495272399815,0.0281443350827479
"2003-01",-0.000454627702468097,-0.000999999999999994,0.00259274754316974,0.00280112044817926,0.00358585364616726,0.0361808169568657,-0.00201029550234322,0.0156180276662203,0.0369470379581684
"2003-02",0.0003391211860055,0,-7.16733199417341e-05,-0.0027932960893855,0.0017273530980324,0.0373227106366935,-0.00447008448148278,-0.000439367311072081,0.0389490901656102
"2003-03",-0.0004134771674041,0.002,-0.00173570574060045,-0.00280112044817926,-0.0054029295008815,0.0375570341123785,0.00562872005705017,-0.00131868131868129,0.03603569509306
"2003-04",0.0002049169117187,0.003,0.00733149144295164,0.00280898876404501,0.0152681213287273,0.0395331834540612,-0.0062501596310951,-0.0158450704225352,0.0285578609000585
"2003-05",0.0014314283029371,0.002,-0.0087137893570095,-0.00280112044817926,-0.0234372616148857,0.0401063564855073,-0.00441066739211637,-0.00849731663685149,0.0264083131494648
"2003-06",0.000359739700301689,0,0.0039572336665048,0,0.0150386459975864,0.040043050549452,0.00894570245167414,0.0207487595850249,0.0245040032662778
"2003-07",8.47284184612995e-05,-0.003,0.00335778852966406,0.00561797752808979,-0.0104289994302471,0.0382894708501636,-0.00223202811157253,0.00927971718957132,0.0118407543499406
"2003-08",-0.000274052557753895,-0.001,-0.00938952098077594,-0.005586592178771,0.000572082004759,0.0400375782554982,-0.00102012589752243,0.00175131348511393,0.00392520744187297
"2003-09",0.000488572877247892,0,0.00454081409450691,0.0168539325842696,-0.00686237257826294,0.0399630086045534,0.00517615598558896,-0.00305944055944052,0.0171555100439527
"2003-10",-1.62340839924974e-05,0,-0.00628431552158815,0.0220994475138121,0.00341738037442574,0.0399738738668718,0.0074205278536521,-0.00482244629548445,0.0112375710111199
"2003-11",0.000280759752248796,0.003,0.00204582370273632,0.0135135135135136,-0.00403988512394915,0.0396337455582748,0.00280025530299799,-0.00440528634361237,0.0040274617294167
"2003-12",0.000196171968567707,0.004,0.00461189930150141,0.024,0.00227973281090155,0.04035917066968,0.0155344305799878,0.0119469026548673,0.000482902048148492
"2004-01",-0.000534193360049395,0.012,0.00137474163546503,0.0182291666666667,0.00580755837287006,0.039081546012272,-0.00586265065241098,-0.00349803235679935,0.00635192359672043
"2004-02",-7.91118899318016e-05,-0.001,-0.00314438370842307,-0.00767263427109977,-0.00639839633758166,0.0393685829888119,-0.00698426064031143,-0.0118473014480035,-0.00203359915074852
"2004-03",0.000782021106075295,-0.006,-6.59645988783097e-05,-0.0335051546391752,0.00348293849163228,0.0385257056555355,-0.00488056900935474,-0.00754884547069268,-0.00325526256768449
"2004-04",-5.82865995756021e-05,0.004,-0.00558873503567869,-0.0773333333333334,-0.0192996119582446,0.0385063643248636,0.0117462893556548,0.0165548098434005,-0.00790114884890103
"2004-05",-0.000783462310677996,0,0.00659981972934176,-0.0115606936416185,0.0240499258095487,0.0400539813737998,-0.00351625011422774,-0.00616197183098588,-0.00778911079718503
"2004-06",0.000110218599291792,0,-0.00032280260468287,0.0497076023391814,-0.0208337254832321,0.038176307094764,-0.00108220737467624,0.00620017714791854,-0.00667467802189192
"2004-07",-0.000196679550891893,0.001,-0.00661321292317629,0.0891364902506964,0.0226995778196132,0.0382883249344924,-0.0105719740206068,-0.0127640845070423,-0.00305731981537738
"2004-08",-5.57570958407e-05,-0.004,0.00888918460955856,0.0460358056265984,-0.0168868341222139,0.0382834088228782,0.00469724660853066,0.00222915737851093,0.00457036582711745
"2004-09",0.0001337235355275,0.00900000000000001,-0.00293900082976117,0,0.00900283864041518,0.0388597029110702,-0.00348438382862959,-0.0102313167259787,-0.000144430876695467
"2004-10",1.63767475196974e-05,-0.003,0.00840597563279211,-0.0537897310513448,-0.00427945312232769,0.0388634980701134,-0.00702729123545809,-0.0121348314606742,-0.00630334865397242
"2004-11",4.04020165243046e-05,-0.007,-0.014765023726149,-0.0361757105943152,-0.00865019703372505,0.0375916594151352,0.00272248044048151,-0.00636942675159236,-0.00305272895467157
"2004-12",0.000309612167604001,0.008,0.00252617386514697,-0.00268096514745308,0.0166141431999184,0.0374009183962636,-0.00622831664503964,-0.0187728937728938,-0.000284998475589604
"2005-01",-0.000111919302110297,-0.006,-0.00440378292150589,0.0241935483870968,-0.0137172673808612,0.0373605742100554,-2.90132808039578e-05,-0.0181987867475502,-0.00391155898829842
"2005-02",0.000933931198487892,-0.002,0.00580858511977611,0.0288713910761156,0.00426175722310385,0.0365764044210629,-0.00616187811058788,-0.0199619771863118,0.00134447069786026
"2005-03",0.000179152616318706,0.003,0.0014072490272683,0.010204081632653,0.00693399623221391,0.0364601275067265,0.00152205597930477,-0.00775945683802137,-0.000192758911776281
"2005-04",0.000560349341976601,0,-0.00605038642332445,-0.0202020202020202,0.00318512036395813,0.0364267337844182,-0.0027197626591845,-0.00195503421309873,-0.00198779401401428
"2005-05",2.06930103299752e-06,0.004,0.00383248796937308,0.018041237113402,-0.00827336904431764,0.0357544683189585,-0.0124326493995988,-0.0288932419196866,-0.00234480645354684
"2005-06",0.000441715251672997,0.001,-0.00265025999084423,-0.0126582278481012,-0.00260154496258136,0.0352024220170996,0.000641236234333764,-0.0297528996469995,-0.00430001268637281
"2005-07",-0.000123340200367,-0.002,0.0035442296919268,0.00512820512820511,0.0205907750945419,0.0345111319095854,0.0151409656031571,-0.0369022869022869,-0.00367481877376397
"2005-08",0.000386496211209397,-0.002,-0.00778812113916427,-0.00510204081632648,-0.0071579197481364,0.0346420289499715,0.0013427784177702,-0.0237452779276849,-0.00102978293791012
"2005-09",0.000345574029795306,0.002,0.00893885053180254,0.0128205128205128,-0.00383425932015258,0.0347636878036924,-0.00478481324082014,-0.0105030403537866,-0.000397515193165443
"2005-10",-0.0005186891036848,-0.003,-0.00454044248069674,-0.0126582278481012,0.00190556815253595,0.0346968203397808,0.000747346024716489,0.0206703910614525,-0.00702331443823589
"2005-11",-0.000568918486922004,-0.000999999999999994,-0.00084864303239629,0,0.00379583955371099,0.032308724233675,0.00277106979496389,0.0202517788724685,-0.0132703416349332
"2005-12",-0.0006686538389091,0.004,0.0034047593297456,0.00256410256410255,-0.00885602730235957,0.0312968765049739,0.00144372511097868,0.0118025751072961,-0.00823438768350238
"2006-01",0.000254497196092399,-0.003,-0.008030765177092,-0.00511508951406647,0.0025188916876574,0.0301520421563356,0.00157581691526132,0.00583244962884422,-0.0129015252932323
"2006-02",-0.000267879635835702,-0.003,0.00737033627561179,0.012853470437018,-0.00378787878787878,0.028916109418714,-0.00278913132627001,-0.00421718502899315,-0.0149112143293818
"2006-03",-0.000133291508201294,0.008,-0.00449942634875489,0.00761421319796951,-0.000648116142412669,0.0284896060976061,0.000488745276171043,0.00158814187400735,-0.0150513243025387
"2006-04",-0.0030969587677846,-0.00700000000000001,0.00263668298390851,0.0151133501259446,0.00252638321800625,0.0283068002908629,-0.014243537481771,-0.0116279069767442,-0.0152233898476937
"2006-05",-9.76848572850075e-05,-0.00399999999999999,0.00244764952204424,0.00744416873449127,0.00318512191636677,0.0271280846082175,-0.00508846177761668,-0.0122994652406417,-0.0157749586321015
"2006-06",-0.000705758844104204,0.014,-0.00375401137664033,-0.0295566502463054,0.00190920317171472,0.027026165330741,-0.00509043611072291,-0.0129940443963183,-0.0174325637002167
"2006-07",-0.000409403688724094,-0.011,-0.0069812752244176,-0.0609137055837563,-0.0101688403599233,0.0260869530670019,0.00548156077327455,-0.00713110257816785,-0.0094831060784657
