"","RBBEBIS","CCRETT01BEM661N","RNBEBIS","CCUSSP01BEM650N","CPGRLE01BEM657N","IR3TIB01BEM156N","IRSTCI01BEM156N","IRLTCT01BEM156N","IRLTLT01BEM156N","NBIEBIS","CCRETT01IEM661N","CPGRLE01IEM657N","CSINFT02NLM460S","NLDCPHPLA01IXOBM","IRLTLT01NLM156N","RBESBIS","CCUSMA02ESM661N","RNESBIS","CPGRLE01ESM657N","CPGRLE01CHM657N","IRSTCI01CHM156N"
"2015-04",-0.00412523799449971,-6.34077176530539,-5.29000000000001,0.0423831211079095,0.00213896983981338,-0.000225,-0.000745,-1e-04,-7e-04,-0.00480821768112782,-11.5716524104364,-0.00225596754889804,0.014,0.259999999999991,-0.00012,-7.45,0.000230106596393886,-4.73999999999999,-0.000150667942470299,-0.002919791610919,0.005
"2015-05",0.00955921402018056,-5.1772892696536,-4.39999999999999,-0.0218457423094071,-0.00216292857577171,-0.000151,-0.001058,0.0043,0.0044,0.0147139562973537,-9.8511214008994,0.00448042852863154,-0.045,0.840000000000003,0.0044,-5.95999999999999,-0.0308951671596869,-3.92,0.00281692413265774,-0.000838987226621878,-0.0025
"2015-06",0.00620725933719091,-4.16038477541601,-3.69,0.0199635369188698,0.00242908511797939,-3.5e-05,-0.001185,0.0032,0.0035,0.00562709663456351,-8.64033763477499,-0.00028643324889548,0.042,-0.239999999999995,0.003,-4.83,-0.00508796826481717,-3.15000000000001,0.000707340710464574,0.00153100903591421,0.001
"2015-07",-0.00543705562526131,-4.4638257295279,-4.03,-0.0198409151845562,-0.00081182720442039,-4.8e-05,-0.001177,-0.000399999999999999,-6e-04,-0.00860863015172719,-8.9503931035471,0.00188928614854538,0.038,0.480000000000004,-0.00068,-4.96000000000001,0.0193199844452214,-3.16999999999999,0.001517580431897,-0.00163590988560827,0.0015
"2015-08",0.0127207737594617,-2.456936652005,-2.67,0.0226132944287407,0.00195388276124595,-9e-05,-0.001213,-0.0013,-0.0015,0.0140019537609899,-7.504691241963,0.00421496933753023,0.017,-0.539999999999992,-0.00133,-3.98999999999999,-0.0114635190981957,-3,-0.000707390607290226,-0.00103876093629848,-0.0025
"2015-09",0.00872002491435686,-0.831252667307993,-1.48999999999999,-0.00106999554168508,-0.00184664740492203,-9.3e-05,-0.001357,9.99999999999994e-05,9.99999999999994e-05,0.00899165061014773,-5.308556514763,-0.00031345990897652,0.057,0.0899999999999892,0.00013,-2.95,-0.00772083438181692,-2.71000000000001,0.00104633778355764,0.00024286693752392,0.0025
"2015-10",0.000205824843058533,-0.795789184512998,-1.23,-0.0166026957065073,0.00270259730985443,-0.000166,-0.001389,-0.0012,-0.0016,-0.00169743263314248,-5.13674764202601,-9.29135743850001e-05,0.041,0.11999999999999,-0.00141,-2.78,-0.00123958324303697,-2.60000000000001,0.0011907450354658,-0.00081816886047383,0.000999999999999999
"2015-11",-0.0119353842987961,-2.02582641788901,-2.03,-0.0397567395842787,0.00271691415545443,-0.00034,-0.001347,-0.000199999999999999,-0.000100000000000001,-0.0230605738575982,-7.74506139300961,-0.00219965187048971,0.045,-0.22999999999999,-8.99999999999998e-05,-3.50999999999999,0.0476752069727444,-2.89999999999999,0.00063249969417327,-0.00259761595391141,-0.002
"2015-12",0.0082265958554617,-1.547831441529,-1.61999999999999,0.0291142830135174,-0.000701289496938946,-0.000387,-0.00199,5e-04,5e-04,0.0125095181116066,-5.75870936869781,0.00064710927803082,0.05,0.0400000000000063,0.00038,-2.67,-0.0153507248862762,-2.28,-0.000611044525291388,0.00122745915473802,0.001
"2016-01",0.0126007023342285,0.766156911549999,0.310000000000002,0.00303113805456046,0.00092901253087471,-0.000198,-0.002387,-5e-04,-3e-04,0.00859475719810909,-1.903886205077,-0.00330836089000766,0.085,-0.460000000000008,-0.00108,-0.780000000000001,0.00361024966007384,-1.23999999999999,-0.000113040557442601,-0.00025466959267561,0
