"","BELLOCOBXNOSTSAM","BELXTIMVA01CXMLM","DNKLOCOXGNOSTSAM","IRLLOCOTXORSTSAM","XTIMVA01IEM657S","EXP4210","NLDXTIMVA01CXMLM","XTEXVA01NOM657S","EXP4550","IMP4550","EXP4700","ESPXTEXVA01CXMLM","XTIMVA01ESM657S","XTEXVA01CHM657S","CHEXTEXVA01CXMLM"
"2009-07",0.00523907007967472,-14579154662.6026,0.00190617939414972,0.098977599360937,-0.0513141180561397,-979.60898,-16871957005.6348,0.0707150055231121,145.428034,-66.890028,-238.740764,-7996323181.8189,0.0404906779164161,0.0670420857798932,-3849299272.4676
"2009-08",0.00419901608706819,-10045983849.6788,0.00155792761200968,-0.0587201166576445,-0.0179743465536144,-1245.323251,-12511309702.7736,0.00766239230298491,-200.14452,-63.062621,117.413169,-3397675965.7887,0.0544582851907119,0.0310976677672354,-1719137898.7241
"2009-09",0.00370849855281907,-8253336960.4459,0.000896919944589625,0.0409788832669817,0.0619665106877371,-167.285703,-11153504208.3358,0.0126133674827045,204.436371,-64.794179,137.325611,-3171961830.5122,0.036072227485215,0.012123959728719,-1084309780.7341
"2009-10",0.00374727467725289,-3084707779.9795,0.000120583163988774,0.00903549283287597,-0.0299065129948951,-618.030795,-4080460039.88641,0.0496690080951036,-149.554731,-16.591044,205.482817,235512035.380398,0.0306314731386056,0.0277326393523704,-8761299.68720245
"2009-11",0.00307455170325399,1472923908.7357,0.000174542372000097,0.0363094793835614,0.0613977344914266,-428.837965,2903217329.3311,0.0413085319095643,107.215101,-28.341724,-61.877628,2702315794.5724,0.0265900095148505,0.0046400405095837,2048027562.9058
"2009-12",0.00281630997579541,3187694381.3842,0.000363872443176039,-0.0364452376842836,-0.0558730221635037,-551.990699,4003150349.6731,-0.0774143940325869,56.8942860000001,-4.34044299999999,-109.463842,3701926828.7362,-0.0709506644310677,0.00699117677529144,2017187713.6646
"2010-01",0.00261749796076005,3233496061.2586,0.000569504443342916,-0.0182253898262487,0.021610853534181,84.3204600000004,6523546780.11681,0.0945711506634249,85.698973,22.497387,345.630366,2784274880.2661,0.0527835523105255,-0.00492946457200018,1141904627.5967
"2010-02",0.00201798190432023,3560013913.3577,0.000628297078300921,0.0350003055681054,-0.0258148923112549,-268.417059,5074171060.6585,0.0352407603251113,34.260658,53.235512,-317.089825,3633937983.4792,-0.0754328484346204,-0.0411892713662104,1608880643.7857
"2010-03",0.00147465246868661,5847518036.7393,0.000584289683712491,0.0290090637418365,0.0109615950755375,-218.151434,8741744446.4649,-0.0432411985130965,-4.20792900000001,67.649147,86.830705,4725526850.8493,0.0516905785030066,0.0743429724783997,3470983871.9468
"2010-04",0.000345772417627677,5746143132.2489,-7.44671804373542e-05,-0.0327215460890227,0.0961032417653396,-384.080479,9548344581.98439,-0.0314252492242929,56.73451,48.711528,413.356629,1925527521.3153,0.00140632403171048,-0.0429402254107865,1379366964.0049
"2010-05",-0.00100741884736755,2925176994.4634,-0.000885844192097918,0.00591105636873501,-0.0996026072721607,-85.9217119999998,6006471718.0416,-0.0569107487633439,-28.911346,155.738292,-186.547506,2206972986.197,-0.0104015630822021,-0.0448347586984939,1067408616.9499
"2010-06",-0.00151530526193988,1648471010.4056,-0.0010815968810437,0.00434267385029141,-0.00113357758949774,632.43665,5784030492.48991,0.0593024328033242,-4.09714500000001,60.540321,-19.0009789999999,1415253398.0848,-0.0481854451462945,0.0294426342314352,1574470468.4344
"2010-07",-0.00105111809807668,1847295525.42191,-0.000519056635122861,-0.026820199819938,-0.0443354685618934,218.942379,4648393210.2248,-0.0373723127520654,-10.409183,60.18624,115.97442,419882358.796597,0.0410318250239681,0.0401926555751216,913283862.633801
"2010-08",-0.000307206256114578,3225442671.5238,-3.98428909387238e-05,-0.0283086810746405,0.0602094920071883,358.358666,4587130776.0538,-0.0390493975626815,23.138761,118.324866,48.9529649999999,1682613417.1084,0.00175289894158988,0.0518315589136842,1754682667.8059
"2010-09",0.000586655131175062,868461799.995602,0.00118586048303437,0.0100219437115792,0.037508852132254,410.635142,3311051670.0172,0.110512621758945,37.824098,71.956864,-104.842434,1224136658.5358,0.00981875718077014,-0.0135344473210428,1208880606.6181
"2010-10",0.00186885902342282,2325018518.5185,0.00180943806671574,0.0135259938058661,0.019573980123062,750.439314,5611944444.4445,0.0166116321626973,-37.162836,64.146786,8.27311400000008,1680648148.1482,0.112569860147665,0.0525807830319124,1269379276.2916
"2010-11",0.00272037117349222,4279449638.28739,0.00229515889476462,0.0269721991914129,-0.0260634208414122,382.883645,5356753339.14471,0.0438862869523418,15.053251,155.634197,-93.809218,2957960016.1693,-0.0051158883206079,-0.0156636434371414,1847038063.9278
"2010-12",0.00288209193678979,1107746316.3923,0.00261008911863492,-0.0313047033144639,0.0202859326606502,617.338903,4122236267.3666,0.0506731554147836,-112.739722,47.058675,774.044946,2278089594.3953,0.00738472938345908,0.0620951073002478,2040099254.6139
"2011-01",0.00171094229668833,5388324597.6193,0.00245277403509259,0.103492784862201,0.0875899019301371,567.640378,4844559949.8605,0.0651347793738045,65.177089,162.208822,-566.588996,4260494114.2201,0.0518226616310426,-0.00955584140990384,2006683356.5788
"2011-02",-0.000371662383146343,7319212944.4772,0.00209809479568568,-0.0179763393623261,0.0443420555323006,466.968425,7875741620.1123,-0.0137180843011935,-50.133874,82.280029,-76.6631930000001,4221883446.0677,-0.033029837026772,0.045845038455614,3409343420.6806
"2011-03",-0.00259463293041273,8370118515.3929,0.00168199346468434,-0.0192668207431068,-0.0470959520535974,1118.088245,10289335524.4252,0.0212849465985283,-1.625753,145.502241,96.7670909999999,6511349449.4381,0.07380969769961,0.0013994580289513,3038037075.6593
"2011-04",-0.00429178674896469,6425454619.2564,0.0011568771893109,0.0435282066780722,0.229119570367404,989.307837,6966548318.98911,0.169608071364585,29.941669,97.108714,-49.6862189999998,5767587519.1361,-0.00433078337824546,0.0444809243709094,3008950528.0705
"2011-05",-0.0052149864720058,13322021090.5627,0.00069626842238879,-0.0702222029440426,-0.143386361109363,1124.350737,12500861332.622,-0.13496532707805,34.601505,36.616498,-246.976901,6762334252.5706,-0.0234752994727205,0.118110015599926,7303037815.0804
"2011-06",-0.00508065709130168,9178678535.75111,0.000102542124031046,0.0577036698571025,0.0258749015572861,312.655699,9211607644.98849,-0.0326759200740458,-34.847957,110.136279,80.106984,6957618965.4768,0.0108681536980855,-0.147860430806987,3415331873.2493
"2011-07",-0.00449416463918706,6443344109.6051,-0.000785495249167822,0.039183135330322,-0.0648198135386391,583.625159,7631359189.0713,0.118570858102484,37.411941,127.518166,190.060479,4917093179.7308,-0.0208352841687289,0.0976885205567913,4157589783.0238
"2011-08",-0.00335409037376855,8656105233.8119,-0.00153073445121077,-0.0137243167775088,0.0746308028175018,804.108481,11116284983.1677,-0.0361644539874578,-58.10162,93.076521,-69.33984,4662822715.7784,0.0392764086616408,0.00651825190387293,3822173086.3445
"2011-09",-0.0021691869184417,5081928148.0823,-0.00142877478510706,-0.107224040828527,-0.088769875912833,744.236359,7406395976.6776,0.000929509726802965,7.88866200000001,177.76783,-151.769572,4604591584.0956,-0.0117704156905693,-0.0589683688226458,2918697040.859
"2011-10",-0.00115489335912278,1124539069.6459,-0.000349668175696372,0.212689302920719,0.00312348273384009,303.590224,1535931769.6764,-0.104278912498052,0.650188000000014,107.331435,-47.21848,854097412.779301,-0.0625284671501365,-0.0154986213202467,1819053084.2812
"2011-11",-7.80722339331907e-05,2327090133.75211,0.000671029537255174,-0.107490309877103,-0.0284917800808747,106.486374,1769140447.9572,0.0890659091888935,-36.775351,8.30235899999997,90.0920739999999,1201740399.4577,0.021333359792183,-0.0180470651619726,1832658576.507
"2011-12",0.000578862941575942,2029839285.893,0.00143170824962979,0.037031116460609,0.0108589489695925,365.758966,488498591.852303,-0.00603648600119594,30.1562499999999,266.930037,-756.636215,1460995820.9372,0.00612692363503839,0.0327540905604642,677523899.460098
"2012-01",0.00105457097800565,-606516697.98069,0.00193910789393592,-0.0317145677520042,0.0564552171675422,381.680534,2138330283.2058,0.012225802513977,17.3019200000001,48.633603,563.326386,370144925.870403,-0.0906458922240959,-0.0457878077143868,1020684586.6474
"2012-02",0.00148339642870288,733592912.286797,0.00191420283656374,0.0186238125877798,0.00498839690848782,41.310086,4861868935.7552,0.0926885810156204,24.490861,100.31984,1.80088899999998,265886731.864101,0.0887321518146774,0.0362259204887111,959398868.892803
"2012-03",0.00131456108345152,-2233546337.451,0.00173084850404215,0.00956971010345042,0.0361736286857302,-219.026415,-1998530415.1281,-0.0180029890178582,-35.490404,-8.83223200000003,-127.472384,-2164808257.4464,-0.0143431931820136,-0.0241612604472388,-569175591.354298
