"","EXP6021","XTEXVA01ILM667S","XTIMVA01ILM667S","XTEXVA01KRM657S","XTIMVA01KRM657S","KORXTIMVA01NCMLM","IMPKR"
"1993-11",0.46541786743516,0.146326937231525,-0.0143210966497056,-0.0274185153538753,0.0121775031738454,836485175809.55,111.2
"1993-12",1.3913470993117,-0.155812279194297,0.0302043776412626,0.0105603002837992,-0.0154169564786684,622706715013.181,66.4000000000001
"1994-01",-1.45929276315789,0.0486766615828018,0.133331800053059,0.0335595390043483,0.123652068157549,1117093802101.54,27.4000000000001
"1994-02",-0.637421665174575,0.174910468647552,-0.0736007836698224,-0.0266769056265135,-0.065486515671039,261835280756.54,120.3
"1994-03",-0.772839506172838,-0.145317000593944,-0.0670458894811035,0.0396294098349023,0.0744633643668686,1020606726497.61,112.1
"1994-04",10.0978260869565,0.0746909538115987,0.293807564925467,0.0464899363095428,0.00932360461851654,1067112378603.02,106.2
"1994-05",-0.428991185112635,0.124321450640122,-0.0891971031005632,0.00185386795609631,0.0410304871725064,1265900036506.24,233.7
"1994-06",0.994854202401373,-0.0891449704208495,-0.0495049499861405,0.00142383589406974,-0.0163974259070861,671054772527.04,83.3999999999999
"1994-07",0.976784178847808,-0.0215647583044987,-0.083355136911538,0.0165601235368686,0.04085074142582,910869791202.85,236.6
"1994-08",0.489343192692475,0.0839396172968949,0.120082962422403,0.00630093031116124,0.0135436650848803,1606676911201.73,352.6
"1994-09",-0.727803738317757,-0.184055293176811,-0.16150816716251,0.0391935370216399,0.0394358895460794,1364165068210.5,200
"1994-10",0.167381974248927,0.508696182084543,0.343274431139009,0.0333640717783666,0.0317378280722986,1581403954942.89,274.6
"1994-11",0.192095588235295,-0.201268763735541,-0.0959630326308971,0.0305200853694486,0.00542609412374047,1764951704638.43,394.9
"1994-12",0.247494217424826,0.0504148703867411,0.043150223730605,0.0802236850843444,0.0682699685687196,2368130320840.16,369.4
