"","EXPCA","IMPCA","FRALOCOBXNOSTSAM","IMPGE","DEUXTIMVA01CXMLM","IMPUK","BOPGSTB","BOPSTB","WOTHAST","EXPMANUS","BSXRLV02USM086S","AUESA","BOPSIMP"
"2009-04",0.207954500972625,-14021.443272,-0.000918490491195634,-3759.132625,-38086881894.7537,-1254.814514,0.00927367270559398,0.0327906182397815,-0.6866,-23209.2,-0.12,0.24124513618677,0.013209761381759
"2009-05",0.134480556756411,-13871.981384,0.000185157712900397,-3470.1866,-33024995383.0104,-2130.19134,-0.15206904472812,0.0755153786793077,1.57425,-23706.1,-0.04,-0.153605015673981,-0.0184129246851984
"2009-06",-0.165357672408193,-12735.884694,0.00106472911945299,-3445.591709,-30680524163.0376,-1518.926027,0.0508146600100623,-0.00656006560065603,2.39325,-25447.9,-0.01,-0.0703703703703703,0.00326757836137004
"2009-07",-0.151990237163583,-13445.038714,0.00171189692461882,-2690.778653,-35913496855.1658,-1451.249936,0.22668680023571,-0.0166116384647131,2.646,-23667.6,0.01,0.410358565737052,0.0135404101326899
"2009-08",-0.244392471935173,-10764.141438,0.00206899941011685,-2193.77564,-22888484313.4621,-734.038172,-0.0490287326988321,0.0641065995173644,-0.428749999999999,-24605.8,0.11,0.124293785310734,0.000446309024368485
"2009-09",-0.120517637863483,-9740.887498,0.0021620420521371,-1461.24954,-15339743817.8995,-444.924128,0.112805455578708,-0.0091697889962532,4.4817,-11789.1,0.1,0.123115577889447,0.0187663573637877
"2009-10",-0.172747993728341,-6478.049679,0.00205812609960798,-1190.671927,-6794801271.40479,-478.493281,-0.00817090816239685,0.0340332371380236,5.2501,-9190.3,0.11,0.0850111856823266,0.0167274850386805
"2009-11",-0.818386597128795,-2207.449068,0.0019421994382478,-209.557097999999,-83289928.712204,267.830774,0.0978860951400211,0.0288711384852276,5.613,-4157.40000000001,0.12,0.0350515463917527,0.00852762145400243
"2009-12",-3.76392385851822,2138.066301,0.00200069002529468,-165.310423,443124964.833603,57.3747520000002,0.0272270133659884,-0.026003180245066,8.455,5228.60000000001,0.09,0.105577689243028,0.00723131672597854
"2010-01",0.546010189463652,4100.848557,0.00230803948104796,-205.870007,4563219960.412,121.128854,-0.0426622026074164,0.0882550657831556,8.84,8836.5,0.17,-0.0162162162162162,-0.00667062381638828
